DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
SAO LUIZ GONZAGA,RS,Operante,-28.41722221,-54.9625,245.49,31/03/1912,
SAO PAULO(MIR.de SANTANA),SP,Operante,-23.49638888,-46.61999999,785.16,30/11/1945,
SAO SIMAO,SP,Operante,-21.461019,-47.579512,620.02,31/12/1919,
SAO VICENTE,MT,Operante,-15.82305554,-55.41888888,786.99,07/11/1985,
SERIDO (CAICO),RN,Operante,-6.46749999,-37.08499999,171.26,13/03/1995,
SERRINHA,BA,Operante,-11.66805554,-39.00194444,362.39,31/01/1904,
SOROCABA,SP,Operante,-23.47999999,-47.42666666,597.58,31/12/1927,
SURUBIM,PE,Operante,-7.839628,-35.801056,421.44,30/09/1929,
TAGUATINGA,TO,Operante,-12.40222222,-46.43833333,604.88,21/12/1915,
TARAUACA,AC,Operante,-8.16027777,-70.7686111,172.27,05/06/1966,
TEFE,AM,Operante,-3.38027777,-64.72527777,56,03/01/1929,
TERESINA,PI,Operante,-5.03472221,-42.80138888,75.73,20/03/1911,
TERESOPOLIS,RJ,Operante,-22.41722221,-42.97222221,874.2,31/12/1912,
TRACUATEUA,PA,Operante,-1.06361111,-46.86527777,24.68,07/09/1972,
TUCURUI,PA,Operante,-3.76,-49.66666666,27.83,31/12/1969,
TURIACU,MA,Operante,-1.66138888,-45.37194443,34.48,28/07/1976,
UNAI,MG,Operante,-16.36638888,-46.88944444,595.59,06/04/1976,
VITORIA,ES,Operante,-20.31583333,-40.31694443,36.2,19/11/1923,
VITORIA DA CONQUISTA,BA,Operante,-14.88638888,-40.80138888,879.47,31/12/1935,
ZE DOCA,MA,Operante,-3.269212,-45.651007,46.71,24/08/1970,
